tgt,ehuh,de1,de2,de3,de4,aic,bic,redchi
(17)A11(-1)A11(-1)A11(-1)A11(40),2.3947320104117087,-17.65576523101238,-17.65576523101238,-17.65576523101238,-17.65576523101238,-29.521796867392815,-28.526064593838825,0.217665336594996
(17)A11(-1)A11(-1)A11(48),1.7923080026773435,-17.65576523101238,-17.65576523101238,-17.65576523101238,,-32.86146073410838,-31.77041828075006,0.21479056628394447
(17)A11(-1)A11(56),2.364374589353875,-17.65576523101238,-17.65576523101238,,,-63.62595231977423,-62.735580561878066,0.027633462639991686
(17)A11(-3)A11(-3)A11(-3)A11(46),8.345783780852305,-17.65576523101238,-17.65576523101238,-17.65576523101238,-17.65576523101238,-43.44552912233242,-41.807942962606035,0.31059460754820895
(17)A11(-3)A11(-3)A11(52),20.169605445764315,-17.65576523101238,-17.65576523101238,-17.65576523101238,,-71.45253362834892,-69.71486401006555,0.17821362698147133
(17)A11(-3)A11(58),5.013231311268875,-17.65576523101238,-17.65576523101238,,,-118.31925293287412,-116.60568086616982,0.05447990763137391
(17)A11(-3)A5(-3)A11(52),24.207381317185966,-17.65576523101238,-15.108303290608497,-17.65576523101238,,-125.17592521984974,-122.92742997780039,0.1649009655181408
(17)A11(-3)A5(58),24.599689266800297,-17.65576523101238,-15.108303290608497,,,-102.74930962005278,-101.41710510987758,0.024608112155768955
(17)A11(-3)M5(-3)A11(52),14.931805816988076,-17.65576523101238,-15.444368845170288,-17.65576523101238,,-83.50340576882388,-81.78983370211958,0.12735761180404667
(17)A11(-3)M5(58),23.644544591259987,-17.65576523101238,-15.444368845170288,,,-68.17319941073349,-67.17746713717949,0.03151263582921943
(17)A11(-3)W4(-3)A11(52),29.708010507240544,-17.65576523101238,-13.655633143434237,-17.65576523101238,,-142.05907757961603,-139.93194319457095,0.09953230755488308
(17)A11(-3)W4(58),21.164989188253394,-17.65576523101238,-13.655633143434237,,,-92.77941225070404,-91.60135842035609,0.02010910537634942
(17)A5(-1)A11(-1)A5(48),25.086562431585396,-15.108303290608497,-17.65576523101238,-15.108303290608497,,-63.94812737763823,-63.00368839847179,0.03281443229948598
(17)A5(-3)A11(-3)A5(52),25.72557878611461,-15.108303290608497,-17.65576523101238,-15.108303290608497,,-135.90250744454892,-134.09584495477858,0.047738011598279485
(17)A5(-3)M5(-3)A5(52),25.218097760245207,-15.108303290608497,-15.444368845170288,-15.108303290608497,,-46.16442005133024,-45.27404829343408,0.07290174523556758
(17)M1(-1)M2(56),23.067894623958445,-15.852964292578577,-14.872284006978369,,,-49.93052922673995,-48.98609024757351,0.06862361733319994
(17)M1(-3)M2(-3)M3(-3)M4(46),22.906035303681666,-15.852964292578577,-14.872284006978369,-16.181928756087032,-15.61861552017755,-41.6453124044256,-40.3131078942504,0.21818902316938338
(17)M1(-3)M2(-3)M3(52),26.379342307736017,-15.852964292578577,-14.872284006978369,-16.181928756087032,,-43.75899867222855,-42.46316180622422,0.1907031209755039
(17)M1(-3)M2(58),22.973706065434687,-15.852964292578577,-14.872284006978369,,,-163.66084471608156,-161.76902441797094,0.03472781672531331
(17)M5(-1)A11(-1)M5(48),23.891302400848762,-15.444368845170288,-17.65576523101238,-15.444368845170288,,-65.39664311465835,-64.50627135676218,0.025044537553307256
(17)M5(-1)M5(-1)M5(-1)M5(40),27.44192601815466,-15.444368845170288,-15.444368845170288,-15.444368845170288,-15.444368845170288,-27.970484318505985,-26.925961880782562,0.25198751010877374
(17)M5(-1)M5(-1)M5(48),24.966155202112123,-15.444368845170288,-15.444368845170288,-15.444368845170288,,-44.33274402340188,-43.24170157004356,0.12751595262146026
(17)M5(-1)M5(56),21.682114102332672,-15.444368845170288,-15.444368845170288,,,-83.84062320128474,-82.84489092773075,0.014396964896719258
(17)M5(-3)A11(-3)M5(52),21.837101680573337,-15.444368845170288,-17.65576523101238,-15.444368845170288,,-324.0555899626809,-321.71178454082724,0.01467784448878034
(17)M5(-3)A5(-3)M5(52),23.697334962552702,-15.444368845170288,-15.108303290608497,-15.444368845170288,,-40.04948694310392,-39.15911518520776,0.10239430387851817
(17)M5(-3)M5(-3)M5(-3)M5(46),4.470872228009021,-15.444368845170288,-15.444368845170288,-15.444368845170288,-15.444368845170288,-67.29938053673257,-66.25485809900914,0.03872846817652097
(17)M5(-3)M5(-3)M5(52),2.4489691394104796,-15.444368845170288,-15.444368845170288,-15.444368845170288,,-87.99141614313513,-86.9468937054117,0.014457884595952495
(17)M5(-3)M5(58),2.6670227289374315,-15.444368845170288,-15.444368845170288,,,-74.27963256005611,-73.23511012233269,0.027776268023940304
(17)M5(-3)W4(-3)M5(52),26.768453384505396,-15.444368845170288,-13.655633143434237,-15.444368845170288,,-65.2418063010824,-64.35143454318624,0.02526090104744535
(17)W4(-1)A11(-1)W4(48),19.693815615243093,-13.655633143434237,-17.65576523101238,-13.655633143434237,,-52.08782500651896,-51.1974532486228,0.05245913711115518
(17)W4(-3)A11(-3)W4(52),22.99160010818798,-13.655633143434237,-17.65576523101238,-13.655633143434237,,-169.13167969719828,-167.32501720742795,0.022812346882972578
(17)W4(-3)M5(-3)W4(52),23.842628777517238,-13.655633143434237,-15.444368845170288,-13.655633143434237,,-57.96445893841505,-57.13124559435883,0.03121999599406438
(17)W4(-3)W4(-3)W4(52),29.95580598474046,-13.655633143434237,-13.655633143434237,-13.655633143434237,,-101.49735506971453,-99.75968545143117,0.08714994063693143
(17)W4(-3)W4(58),24.421204047582357,-13.655633143434237,-13.655633143434237,,,-101.97902975382902,-100.64682524365382,0.025294478890087593
(23)A5(-3)A11(52),22.417282447993376,-15.108303290608497,-17.65576523101238,,,-111.67694326904666,-110.34473875887146,0.017889824582164645
(23)M5(-3)A11(52),4.254297022898594,-15.444368845170288,-17.65576523101238,,,-123.25662997914868,-121.92442546897348,0.011830392460594419
(23)W4(-3)A11(52),21.838922787755656,-13.655633143434237,-17.65576523101238,,,-125.71989967892495,-124.35260384893847,0.012663351677133635
