strain,sequence,promoter_backbone,binding_sites,integration_cassette,TF,parental_strain
sAS001,mc_Lys2_xxxxxx_minimalCyc1_eGFP_URA3,minimalCyc,NS,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS002,mc_Lys2_W2xxxxx_minimalCyc1_eGFP_URA3,minimalCyc,1V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS003,mc_Lys2_S1xxxxx_minimalCyc1_eGFP_URA3,minimalCyc,1S,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS004,mc_Lys2_M1xxxxx_minimalCyc1_eGFP_URA3,minimalCyc,1W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS005,mc_Lys2_W2W3W1xxx_minimalCyc1_eGFP_URA3,minimalCyc,3V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS006,mc_Lys2_M1M2M3xxx_minimalCyc1_eGFP_URA3,minimalCyc,3W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS007,mc_Lys2_W2W3W1W4W3W2_minimalCyc1_eGFP_URA3,minimalCyc,6V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sAS008,mc_Lys2_M1M2M3M4M5M6_minimalCyc1_eGFP_URA3,minimalCyc,6W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML001,Pho5pr-delPho2-CC-5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_5V-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML002,TU-Pho5pr-delPho2-CN_5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_5V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML003,TU-Pho5pr-delPho2-NC_5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML004,Pho5pr-WT-CC-5XW-yoEGFP-tTDHI-URA,PHO5,WT_5V-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML005,TU-Pho5pr-WT-CN_5XW-yoEGFP-tTDHII-URA,PHO5,WT_5V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML006,TU-Pho5pr-WT-NC_5XW-yoEGFP-tTDHI-URA,PHO5,WT_N-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML007,TU-Pho5pr-WT-CA_5XW-yoEGFP-tTDHI-URA,PHO5,WT_5V-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML008,TU-Pho5pr-WT-AC_5XW-yoEGFP-tTDHI-URA,PHO5,WT_A-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML009,TU-Pho5pr-WT-WW-5XW-yoEGFP-tTDHI-URA,PHO5,WT_1V-1V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML010,TU-Pho5pr-WT-WN_5XW-yoEGFP-tTDHI-URA,PHO5,WT_1V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML011,TU-Pho5pr-WT-NW_5XW-yoEGFP-tTDHI-URA,PHO5,WT_N-1V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML012,Pho5pr-delPho2-CC-5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_5V-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML013,TU-Pho5pr-delPho2-CN_5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_5V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML014,TU-Pho5pr-delPho2-NC_5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML015,Pho5pr-WT-CC-5XW-yoEGFP-tTDHI-URA,PHO5,WT_5V-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML016,TU-Pho5pr-WT-CN_5XW-yoEGFP-tTDHII-URA,PHO5,WT_5V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML017,TU-Pho5pr-WT-NC_5XW-yoEGFP-tTDHI-URA,PHO5,WT_N-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML018,TU-Pho5pr-WT-CA_5XW-yoEGFP-tTDHI-URA,PHO5,WT_5V-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML019,TU-Pho5pr-WT-AC_5XW-yoEGFP-tTDHI-URA,PHO5,WT_A-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML020,TU-Pho5pr-WT-WW-5XW-yoEGFP-tTDHI-URA,PHO5,WT_1V-1V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML021,TU-Pho5pr-WT-WN_5XW-yoEGFP-tTDHI-URA,PHO5,WT_1V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML022,TU-Pho5pr-WT-NW_5XW-yoEGFP-tTDHI-URA,PHO5,WT_N-1V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML023,Pho5pr-delPho2-CC-5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_5V-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML024,TU-Pho5pr-delPho2-CN_5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_5V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML025,TU-Pho5pr-delPho2-NC_5XW-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML026,Pho5pr-WT-CC-5XW-yoEGFP-tTDHI-URA,PHO5,WT_5V-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML027,TU-Pho5pr-WT-CN_5XW-yoEGFP-tTDHII-URA,PHO5,WT_5V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML028,TU-Pho5pr-WT-NC_5XW-yoEGFP-tTDHI-URA,PHO5,WT_N-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML029,TU-Pho5pr-WT-CA_5XW-yoEGFP-tTDHI-URA,PHO5,WT_5V-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML030,TU-Pho5pr-WT-AC_5XW-yoEGFP-tTDHI-URA,PHO5,WT_A-5V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML031,TU-Pho5pr-WT-WW-5XW-yoEGFP-tTDHI-URA,PHO5,WT_1V-1V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML032,TU-Pho5pr-WT-WN_5XW-yoEGFP-tTDHI-URA,PHO5,WT_1V-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML033,TU-Pho5pr-WT-NW_5XW-yoEGFP-tTDHI-URA,PHO5,WT_N-1V,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML034,Pho5pr-WT-NN-yoEGFP-tTDHI-URA,PHO5,WT_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML035,Pho5pr-WT-NC-yoEGFP-tTDHI-URA,PHO5,WT_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML036,Pho5pr-WT-NA-yoEGFP-tTDHI-URA,PHO5,WT-N-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML037,Pho5pr-WT-CN-yoEGFP-tTDHI-URA,PHO5,WT_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML038,Pho5pr-WT-CC-yoEGFP-tTDH-URA,PHO5,WT_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML039,Pho5pr-WT-CA-yoEGFP-tTDHI-URA,PHO5,WT_5W-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML040,Pho5pr-WT-AN-yoEGFP-tTDHI-URA,PHO5,WT_A-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML041,Pho5pr-WT-AC-yoEGFP-tTDHI-URA,PHO5,WT_A-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML042,Pho5pr-WT-AA-yoEGFP-tTDHI-URA,PHO5,WT_A-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML043,Pho5pr--delPho2-NN-yoEGFP-tTDHI-URA,PHO5,delPho2_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML044,Pho5pr--delPho2-NC-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML045,Pho5pr--delPho2-CN-yoEGFP-URA,PHO5,delPho2_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML046,Pho5pr--delPho2-CC-yoEGFP-tTDHIURA,PHO5,delPho2_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML047,Pho5pr-WT-NN-yoEGFP-tTDHI-URA,PHO5,WT_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML048,Pho5pr-WT-NC-yoEGFP-tTDHI-URA,PHO5,WT_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML049,Pho5pr-WT-NA-yoEGFP-tTDHI-URA,PHO5,WT_N-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML050,Pho5pr-WT-CN-yoEGFP-tTDHI-URA,PHO5,WT_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML051,Pho5pr-WT-CC-yoEGFP-tTDH-URA,PHO5,WT_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML052,Pho5pr-WT-CA-yoEGFP-tTDHI-URA,PHO5,WT_5W-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML053,Pho5pr-WT-AN-yoEGFP-tTDHI-URA,PHO5,WT_A-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML054,Pho5pr-WT-AC-yoEGFP-tTDHI-URA,PHO5,WT_A-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML055,Pho5pr-WT-AA-yoEGFP-tTDHI-URA,PHO5,WT_A-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML056,Pho5pr--delPho2-NN-yoEGFP-tTDHI-URA,PHO5,delPho2_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML057,Pho5pr--delPho2-NC-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML058,Pho5pr--delPho2-CN-yoEGFP-URA,PHO5,delPho2_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML059,Pho5pr--delPho2-CC-yoEGFP-tTDHIURA,PHO5,delPho2_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML060,Pho5pr-WT-NN-yoEGFP-tTDHI-URA,PHO5,WT_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML061,Pho5pr-WT-NC-yoEGFP-tTDHI-URA,PHO5,WT_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML062,Pho5pr-WT-NA-yoEGFP-tTDHI-URA,PHO5,WT_N-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML063,Pho5pr-WT-CN-yoEGFP-tTDHI-URA,PHO5,WT_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML064,Pho5pr-WT-CC-yoEGFP-tTDH-URA,PHO5,WT_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML065,Pho5pr-WT-CA-yoEGFP-tTDHI-URA,PHO5,WT_5W-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML066,Pho5pr-WT-AN-yoEGFP-tTDHI-URA,PHO5,WT_A-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML067,Pho5pr-WT-AC-yoEGFP-tTDHI-URA,PHO5,WT_A-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML068,Pho5pr-WT-AA-yoEGFP-tTDHI-URA,PHO5,WT_A-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML069,Pho5pr--delPho2-NN-yoEGFP-tTDHI-URA,PHO5,delPho2_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML070,Pho5pr--delPho2-NC-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML071,Pho5pr--delPho2-CN-yoEGFP-URA,PHO5,delPho2_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML072,Pho5pr--delPho2-CC-yoEGFP-tTDHIURA,PHO5,delPho2_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML073,mc_Lys2_M1M2xxxx_minimalCyc1_eGFP_URA3,minimalCyc,2W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML074,mc_Lys2_M1M2M3M4xx_minimalCyc1_eGFP_URA3,minimalCyc,4W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML075,mc_Lys2_M1M2M3M4M5x_minimalCyc1_eGFP_URA3,minimalCyc,5W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML076,mc_Lys2_W4W4W4xxx_minimalCyc1_eGFP_URA3,minimalCyc,3V',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML077,mc_Lys2_W4W4W4W4W4W4_minimalCyc1_eGFP_URA3,minimalCyc,6V',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML078,mc_Lys2_A4A5M2xxx_minimalCyc1_eGFP_URA3,minimalCyc,3VW,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML079,mc_Lys2_A4A5M2A4A5M2_minimalCyc1_eGFP_URA3,minimalCyc,6VW,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML080,mc_Lys2_A11A11A11xxx_minimalCyc1_eGFP_URA3,minimalCyc,3S,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML081,mc_Lys2_A11A11A11A11A11A11_minimalCyc1_eGFP_URA3,minimalCyc,6S,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML082,mc_Lys2_M1M2M3W4W3W2_minimalCyc1_eGFP_URA3,minimalCyc,3W3V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML083,mc_Lys2_M1xM2xM3x_minimalCyc1_eGFP_URA3,minimalCyc,3W',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML084,mc_Lys2_M1W4M2W3M3W2_minimalCyc1_eGFP_URA3,minimalCyc,3W3V',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,Z3EV_mScarlet
sML085,mc_Lys2_xxxxxx_minimalCyc1_eGFP_URA3,minimalCyc,NS,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML086,mc_Lys2_W2xxxxx_minimalCyc1_eGFP_URA3,minimalCyc,1V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML087,mc_Lys2_S1xxxxx_minimalCyc1_eGFP_URA3,minimalCyc,1S,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML088,mc_Lys2_M1xxxxx_minimalCyc1_eGFP_URA3,minimalCyc,1W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML089,mc_Lys2_W2W3W1xxx_minimalCyc1_eGFP_URA3,minimalCyc,3V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML090,mc_Lys2_M1M2M3xxx_minimalCyc1_eGFP_URA3,minimalCyc,3W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML091,mc_Lys2_W2W3W1W4W3W2_minimalCyc1_eGFP_URA3,minimalCyc,6V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML092,mc_Lys2_M1M2M3M4M5M6_minimalCyc1_eGFP_URA3,minimalCyc,6W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML093,M1M2_xxxx_minimalCyc1_MC_GFP_URA,minimalCyc,2W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML094,M1M2M3M4xx_minimalCyc1_MC_GFP_URA,minimalCyc,4W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML095,M1M2M3M4M5x_minimalCyc1_MC_GFP_URA,minimalCyc,5W,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML096,W4W4W4xxx_minimalCyc1_MC_GFP_URA,minimalCyc,3V',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML097,W4W4W4W4W4W4_minimalCyc1_MC_GFP_URA,minimalCyc,6V',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML098,A4A5M2xxx_minimalCyc1_MC_GFP_URA,minimalCyc,3VW,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML099,A4A5M2A4A5M2_minimalCyc1_MC_GFP_URA,minimalCyc,6VW,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML100,A11A11A11xxx_minimalCyc1_MC_GFP_URA,minimalCyc,3S,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML101,A11A11A11A11A11A11_minimalCyc1_MC_GFP_URA,minimalCyc,6S,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML102,M1M2M3W4W3W2_minimalCyc1_MC_GFP_URA,minimalCyc,3W3V,Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML103,M1xM2xM3x_minimalCyc1_MC_GFP_URA,minimalCyc,3W',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741
sML104,M1W4M2W3M3W2_minimalCyc1_MC_GFP_URA,minimalCyc,3W3V',Lys2 5'-Pr-GFP-tENO2-URA3-Lys2 3',Zif268,BY4741